name	latitude	longitude
Aghwater	52.81452	-6.81760
Aghyohil Beg	51.70583	-8.88150
Aghyohil More	51.70841	-8.89019
Aghyowla	54.04866	-7.76768
Aghyrassy	53.38827	-7.46429
Aglish	52.98702	-8.99991
Aglish	51.88541	-8.76842
Aglish	52.11618	-9.59545
Aglish	52.13327	-10.14020
Aglish	53.04087	-8.08607
Aglish	52.12875	-8.02743
Aglish	52.07151	-7.82226
Aglish North	52.28445	-7.19776
Aglish South	52.27761	-7.20918
Agloragh	53.73141	-8.77991
Agrimhill	53.12333	-8.29952
Ahabeg	52.62842	-8.52214
Ahaclare	52.80079	-8.70188
Ahacore	52.63759	-8.43005
Ahadagh	52.38076	-8.89203
Ahadallane	52.02264	-8.69766
Ahaga	52.70304	-9.34710
Ahagilla	51.58598	-8.93124
Ahaglaslin	51.57220	-8.99960
Ahaglugger	53.25155	-9.15769
Ahakeera	51.77690	-9.04057
Ahakista	51.59990	-9.63219
Ahalahana	52.50389	-9.40005
Ahalisky	51.67968	-8.85022
Ahanagh	53.81353	-7.88083
Ahanaglogh	52.18927	-7.45565
Ahanduff Beg	53.17278	-8.31968
Ahanduff More	53.17550	-8.32087
Ahane	52.23820	-9.59781
Ahane	52.71621	-8.38452
Ahane Beg	52.09470	-9.11810
Ahaneboy	52.27754	-9.43012
Ahane Lower	52.09152	-9.13180
Ahane Upper	52.10101	-9.12741
Ahanroe	53.83003	-9.24695
Ahanure North	52.52454	-7.43196
Ahanure South	52.51920	-7.41553
Ahapouleen	53.22391	-8.95974
Ahare	52.71025	-6.18733
Aharinaghbeg	52.74765	-8.60351
Aharinaghmore	52.74788	-8.58191
Aharney	52.80717	-7.41507
Aharney	53.30396	-7.57346
Ahascra	52.46897	-9.61258
Ahascragh	53.39761	-8.33463
Ahascragh East	53.40001	-8.32713
Ahascragh West	53.39632	-8.33633
Ahasla	52.88563	-9.11280
Ahaun	53.56966	-8.60727
Ahaun	52.29614	-9.24647
Ahaun	52.15840	-8.02086
Ahaun	52.02012	-7.66650
Ahaunboy North	52.12604	-8.00242
Ahaunboy South	52.11585	-8.00581
Ahaveheen	52.38673	-8.91517
Ahawilk	52.38871	-8.99550
Ahena	53.71240	-9.08930
Ahenny	52.41062	-7.39747
Ahenny	52.41416	-7.39256
Ahenny Little	52.41656	-7.40173
Aherla	51.85367	-8.73260
Aherla Beg	51.85538	-8.75538
Aherla More	51.85509	-8.73013
Ahgloragh	53.50632	-8.78111
Ahidelake	51.60916	-8.84860
Ahil Beg	51.76531	-9.38137
Ahildotia	51.76113	-9.37606
Ahil More	51.75613	-9.39920
Ahimma	52.49102	-9.65088
Ahnagurra	52.35619	-8.36896
Aighan	54.64711	-8.38607
Aighe	54.73053	-8.43929
Aillbrack	52.89308	-9.34707
Ailldavore	52.82342	-9.19827
Aille	53.24901	-9.39017
Aille	53.76202	-9.41126
Aillebaun	53.65466	-9.55777
Aillebrack	53.41367	-10.12918
Aillemore	52.80934	-8.51149
Aillemore	53.70055	-9.87727
Aillenacally	53.42211	-9.89078
Aillenaveagh	53.52155	-9.91085
Aillroe Beg	52.62161	-9.18857
Aillroe More	52.64082	-9.18504
Aillvaun	52.94614	-8.65246
Aillwee	53.08637	-9.11063
Airgloony	53.52546	-8.87890
Akip	52.88270	-7.57125
Alasty	53.27172	-6.60356
Alderborough	53.24116	-7.33849
Alderford	54.07200	-8.20232
Aldridge	52.21389	-6.90384
Aldworth	52.09460	-8.72898
Alexander Reid	53.64828	-6.64105
Alkill	54.25039	-6.86404
Alla	54.54115	-8.17503
Allagesh	54.26188	-7.10858
Allaghee Beg	51.84852	-10.35707
Allaghee More	51.81252	-10.33296
Allagh Island	55.07898	-8.36955
Allagour	53.24266	-6.37336
Allaphreaghaun	53.25796	-9.23187
Allardstown	53.99430	-6.48173
Allcollege	53.56842	-6.42893
Alleen	52.53021	-8.10958
Alleendarra East	53.03645	-8.43002
Alleendarra West	53.04119	-8.44904
Allenagh	53.74076	-7.75524
Allengort	52.66608	-7.95121
Allenstown Big	52.22044	-6.40063
Allenstown Demesne	53.67654	-6.83169
Allenstown Little	52.22464	-6.40554
Allenswood	53.37906	-6.46670
Allenswood	53.37712	-6.47186
Allenwood	53.28395	-6.86185
Allenwood Middle	53.28576	-6.88734
Allenwood North	53.29411	-6.89087
Allenwood South	53.27841	-6.89641
Alliganstown	53.10011	-6.64426
Allihies	51.64733	-10.05146
Allihies	51.64126	-10.04416
Alloonbaun	53.38393	-8.48401
Alloon Lower	53.39235	-8.47874
Alloon Upper	53.38850	-8.49348
Allygola	53.11418	-8.46345
Allykeolaun	53.10561	-8.49005
Almondstown	53.78542	-6.27827
Alohart	52.02261	-9.68227
Alsmeed	54.16292	-6.65678
Alt	54.19484	-9.89320
Altachullion Lower	54.16466	-7.79168
Altachullion Upper	54.15506	-7.78564
Altadoo	54.67490	-8.16825
